label,path
1083,HUST-OBS/deciphered/1083/H_1083_60C43_8.png
1083,HUST-OBS/deciphered/1083/H_1083_60C43_9.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_0.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_1.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_10.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_11.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_12.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_13.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_14.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_15.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_16.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_17.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_18.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_19.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_2.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_20.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_3.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_4.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_5.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_6.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_7.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_8.png
1084,HUST-OBS/deciphered/1084/H_1084_60C37_9.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_0.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_1.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_10.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_11.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_12.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_13.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_14.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_15.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_16.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_17.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_18.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_19.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_2.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_20.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_21.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_22.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_3.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_4.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_5.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_6.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_7.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_8.png
1085,HUST-OBS/deciphered/1085/H_1085_603BF_9.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_0.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_1.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_10.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_11.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_12.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_13.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_14.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_15.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_16.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_17.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_18.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_19.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_2.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_3.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_4.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_5.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_6.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_7.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_8.png
1086,HUST-OBS/deciphered/1086/H_1086_61457_9.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_0.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_1.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_10.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_11.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_12.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_13.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_14.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_15.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_16.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_17.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_18.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_2.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_3.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_4.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_5.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_6.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_7.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_8.png
1087,HUST-OBS/deciphered/1087/H_1087_614B5_9.png
1088,HUST-OBS/deciphered/1088/H_1088_6056C_0.png
1088,HUST-OBS/deciphered/1088/H_1088_6056C_1.png
1088,HUST-OBS/deciphered/1088/H_1088_6056C_10.png
1088,HUST-OBS/deciphered/1088/H_1088_6056C_11.png
1088,HUST-OBS/deciphered/1088/H_1088_6056C_12.png
1088,HUST-OBS/deciphered/1088/H_1088_6056C_13.png
1088,HUST-OBS/deciphered/1088/H_1088_6056C_14.png
1088,HUST-OBS/deciphered/1088/H_1088_6056C_15.png
1088,HUST-OBS/deciphered/1088/H_1088_6056C_16.png
